rank,Youtuber,subscribers,video views,video count,category,started
764,Ja Mill,12500000.00,1302818088.00,567.00,People & Blogs,2016
765,JesseAndMike,12500000.00,9102860878.00,630.00,Entertainment,2007
766,Disney Junior,12500000.00,11451399743.00,3261.00,Entertainment,2008
767,VexTrex,12500000.00,7198667373.00,3133.00,Entertainment,2014
768,Zee Bangla,12500000.00,5283086890.00,76545.00,Entertainment,2008
769,Awakening Music,12500000.00,4944109812.00,709.00,Music,2006
770,Lokdhun Punjabi,12500000.00,4372757487.00,1399.00,Music,2010
771,Parafernalha,12500000.00,4547822776.00,1498.00,Entertainment,2011
772,Rebecca Zamolo,12500000.00,4747533461.00,856.00,Comedy,2011
773,Juliana Baltar,12500000.00,3211108711.00,1431.00,Entertainment,2010
774,StudyIQ IAS,12500000.00,2940312253.00,34843.00,Education,2015
775,gymvirtual,12500000.00,2352844574.00,1414.00,Sports,2010
776,Knowledge Tv हिन्दी,12500000.00,1446664137.00,1041.00,People & Blogs,2014
777,キッズライン♡Kids Line,12400000.00,10743601694.00,5581.00,People & Blogs,2011
778,KOMPASTV,12400000.00,9025460804.00,225232.00,News & Politics,2013
779,Meghan Trainor,12400000.00,7312991342.00,89.00,People & Blogs,2008
780,Ajay Sharma,12400000.00,9181398526.00,607.00,Entertainment,2012
781,Wolfoo Channel,12400000.00,5859164410.00,1032.00,,2019
782,elliegoulding,12400000.00,6556822629.00,104.00,Music,2007
783,Sony Music South,12400000.00,7036027389.00,1574.00,Music,2014
784,karameeshchannel,12400000.00,8199848915.00,2122.00,Entertainment,2012
785,Melon City Show - برنامج ولاية بطيخ,12400000.00,5477760778.00,1592.00,Comedy,2016
786,DJ Khaled,12400000.00,6054112231.00,39.00,Music,2018
787,Adexe & Nau,12400000.00,4440271314.00,529.00,Music,2013
788,SR Toys Collection,12400000.00,4007664795.00,984.00,Entertainment,2012
789,CaseyNeistat,12400000.00,3044339760.00,1068.00,People & Blogs,2010
790,Talking Angela,12400000.00,3284897861.00,204.00,Entertainment,2014
791,Jordan Matter,12400000.00,3368183197.00,355.00,Entertainment,2006
792,Kabita's Kitchen,12400000.00,2338362639.00,1234.00,Howto & Style,2014
793,LOUD,12400000.00,2305594041.00,1126.00,Gaming,2019
794,Brawl Stars,12400000.00,1796220780.00,130.00,Gaming,2017
795,Piuzinho,12400000.00,1022959848.00,463.00,Gaming,2015
796,People Vs Food,12400000.00,959616512.00,384.00,Entertainment,2013
797,DisneyChannelUK,12300000.00,11606288094.00,3238.00,Music,2007
798,Little Baby Bum en Español,12300000.00,6706548354.00,1182.00,Education,2014
799,JOJO TV - Hindi Stories,12300000.00,4679118911.00,925.00,Education,2016
800,Troom Troom PT,12300000.00,4219567300.00,2430.00,Howto & Style,2015
801,Peppa Pig em Português Brasil - Canal Oficial,12300000.00,3807810342.00,1066.00,Film & Animation,2014
802,Gibby :),12300000.00,2761291454.00,203.00,People & Blogs,2014
803,Blockbuster Movies,12300000.00,2286659867.00,344.00,Entertainment,2016
804,Wolfoo Family,12200000.00,5770890911.00,1101.00,,2019
805,Come Play With Me,12200000.00,14390156987.00,367.00,Entertainment,2014
806,The Dodo,12200000.00,7908428418.00,6993.00,Pets & Animals,2014
807,Just For Laughs Gags,12200000.00,7856644944.00,6411.00,Comedy,2007
808,Think Music India,12200000.00,8959285840.00,3931.00,Music,2009
809,ماشا و الدب,12200000.00,6201317137.00,751.00,Shows,2017
810,Troom Troom India,12200000.00,6308397105.00,2070.00,Howto & Style,2015
811,HZHtube Kids Fun,12200000.00,3956552948.00,674.00,Entertainment,2015
812,Its JoJo Siwa,12200000.00,3817813233.00,707.00,Entertainment,2015
813,My Mate Nate,12200000.00,2748616115.00,981.00,Comedy,2014
814,Bela Bagunça,12200000.00,2770979129.00,921.00,People & Blogs,2015
815,Mythpat,12200000.00,2590550091.00,322.00,Entertainment,2018
816,GMA News,12100000.00,10471677314.00,329711.00,News & Politics,2007
817,Future,12100000.00,8747974258.00,48.00,Music,2011
818,Codiscos,12100000.00,9823385812.00,6967.00,Music,2007
819,Jass Records,12100000.00,5294095545.00,4241.00,Music,2014
820,DeGoBooM,12100000.00,4732355492.00,3062.00,Gaming,2014
821,FIFA,12100000.00,3904515416.00,9589.00,Sports,2006
822,Más SKabeche,12100000.00,2746045885.00,632.00,Travel & Events,2015
823,Davie504,12100000.00,2329241574.00,793.00,Entertainment,2011
824,Trakin Tech,12100000.00,1809901493.00,3285.00,Science & Technology,2011
825,ChrisBrownVEVO,12000000.00,12493403632.00,290.00,Music,2009
826,Migos ATL,12000000.00,6370982440.00,100.00,Music,2012
827,Lana Del Rey,12000000.00,5676001571.00,40.00,Music,2011
828,DaniRep | +6 Vídeos Diarios De GTA 5 Online!,12000000.00,6447519975.00,10858.00,Gaming,2012
829,Компот,12000000.00,5850856870.00,1863.00,Gaming,2013
830,Geo News,12000000.00,5358131096.00,153929.00,News & Politics,2007
831,NDTV,12000000.00,4510236068.00,126906.00,Entertainment,2006
832,NORMAN FAIT DES VIDÉOS,12000000.00,2681755121.00,205.00,Comedy,2011
833,RaptorGamer,12000000.00,2522809876.00,1207.00,People & Blogs,2016
834,Panda,12000000.00,2004584036.00,1408.00,,2018
835,Narendra Modi,12000000.00,2265382511.00,17104.00,News & Politics,2007
836,Kylie Jenner,12000000.00,753341022.00,148.00,People & Blogs,2015
837,Troom Troom Indonesia,11900000.00,5012830809.00,1568.00,People & Blogs,2019
838,Avril Lavigne,11900000.00,5636275144.00,140.00,Music,2005
839,The Infographics Show,11900000.00,4349105305.00,3445.00,Education,2011
840,KaKa Kids TV - Nursery Rhymes Kids Animated Songs,11900000.00,4115401899.00,310.00,,2013
841,Azhan5star,11900000.00,6371101819.00,365.00,Entertainment,2021
842,CHHOTU KI MASTI,11900000.00,4064045560.00,106.00,Comedy,2018
843,Yudist Ardhana,11900000.00,3925624169.00,2126.00,Entertainment,2016
844,Vogue,11900000.00,3533048715.00,2756.00,Entertainment,2008
845,Sonotek Bhakti,11900000.00,3661572976.00,7428.00,Entertainment,2010
846,BanderitaX,11900000.00,3347502658.00,1474.00,Gaming,2013
847,Lulu99,11900000.00,2140151369.00,496.00,Entertainment,2015
848,Planet Earth INDIA,11900000.00,1722795279.00,630.00,People & Blogs,2011
849,colinfurze,11900000.00,1472027354.00,350.00,Entertainment,2006
850,Ice Cream Rolls,11900000.00,1469047858.00,1528.00,Entertainment,2011
851,Yair17,11900000.00,1248384511.00,962.00,Gaming,2014
852,CalvinHarrisVEVO,11800000.00,13615089843.00,173.00,Music,2009
853,Rauw Alejandro,11800000.00,9232920975.00,114.00,Music,2014
854,Jamuna TV,11800000.00,9144058244.00,84071.00,News & Politics,2017
855,MBC مصر,11800000.00,7784893932.00,40608.00,Entertainment,2012
856,CNCO,11800000.00,6881836992.00,172.00,Music,2015
857,Kids TV India Hindi Nursery Rhymes,11800000.00,5473328070.00,1185.00,Shows,2014
858,DANIEL EL TRAVIESO VIDEOS,11800000.00,4755190859.00,324.00,Comedy,2014
859,Kluna Tik,11800000.00,4208225754.00,275.00,Entertainment,2014
860,MrGear,11800000.00,3241537148.00,766.00,Science & Technology,2015
861,E-MasterSensei,11800000.00,3235532845.00,1151.00,Gaming,2016
862,Timba Vk,11800000.00,2538254830.00,890.00,Gaming,2012
863,MORGENSHTERN,11800000.00,2085751416.00,131.00,Music,2013
864,WiederDude,11800000.00,2190306341.00,259.00,,2016
865,TommyInnit,11800000.00,1590238217.00,289.00,Gaming,2015
866,Tfue,11800000.00,1461546183.00,741.00,Gaming,2014
867,Bispo Bruno Leonardo,11800000.00,1882150122.00,3439.00,Nonprofits & Activism,2016
868,TsMadaan,11800000.00,1329092064.00,1687.00,Howto & Style,2008
869,EU FICO LOKO,11800000.00,1190135430.00,1605.00,Comedy,2010
870,Technology Gyan,11800000.00,920996435.00,924.00,Science & Technology,2015
871,Machinima,11700000.00,0.00,0.00,Film & Animation,2006
872,Wave Music Bhakti,11700000.00,4770280667.00,19108.00,Music,2011
873,FFUNTV,11700000.00,9325685889.00,364.00,Gaming,2018
874,Natti Natasha,11700000.00,7264301648.00,130.00,Music,2015
875,Netflix Jr.,11700000.00,7314674893.00,1563.00,Education,2012
876,Nat and Essie,11700000.00,6890942780.00,959.00,Film & Animation,2015
877,Mor Haryanvi,11700000.00,5768686721.00,402.00,Music,2015
878,Luan Santana,11700000.00,4908116204.00,371.00,Music,2009
879,Koo Koo TV - Hindi,11700000.00,4265761191.00,927.00,Education,2017
880,123 GO!,11700000.00,4356636895.00,377.00,People & Blogs,2019
881,Naz | ناز,11700000.00,2002897892.00,917.00,People & Blogs,2016
882,Rubius Z,11700000.00,1828200652.00,429.00,Comedy,2006
883,emma chamberlain,11700000.00,1531833342.00,283.00,Entertainment,2016
884,Dani Russo Tv,11700000.00,602060711.00,280.00,Comedy,2014
885,FrontaL Gaming,11700000.00,255073454.00,108.00,Gaming,2015
886,eltrece,11600000.00,11106097841.00,149786.00,Entertainment,2014
887,Alan Chikin Chow,11600000.00,11876297990.00,508.00,Comedy,2020
888,Луномосик,11600000.00,5052785110.00,460.00,People & Blogs,2015
889,Akon,11600000.00,5289951047.00,37.00,Music,2005
890,Halsey,11600000.00,4412088740.00,51.00,Music,2014
891,Republic Bharat,11600000.00,5041539626.00,49789.00,News & Politics,2019
892,SBT,11600000.00,3375080065.00,25710.00,Comedy,2008
893,办公室小野 Ms Yeah,11600000.00,3339092378.00,351.00,People & Blogs,2017
894,Morgz,11600000.00,2723781007.00,735.00,Gaming,2014
895,First We Feast,11600000.00,2485814338.00,819.00,Howto & Style,2014
896,P!NK,11500000.00,7211913487.00,13.00,Music,2006
897,YoungBoy Never Broke Again,11500000.00,11015842469.00,475.00,Entertainment,2015
898,TV9 Bharatvarsh,11500000.00,7314674032.00,193940.00,People & Blogs,2018
899,Wassabi,11500000.00,4592238139.00,1119.00,Entertainment,2006
900,Luli Pampín,11500000.00,6102648062.00,225.00,Music,2012
901,Duo Tiempo De Sol,11500000.00,5733616887.00,278.00,Music,2013
902,Wild 'N Out,11500000.00,4418589089.00,1267.00,Entertainment,2006
903,LipaoGamer,11500000.00,3837227706.00,10901.00,Gaming,2011
904,Make Joke Of,11500000.00,1832620830.00,42.00,Comedy,2017
905,Garena Free Fire LATAM,11500000.00,1587661793.00,1425.00,People & Blogs,2018
906,Hero Movies 2022,11500000.00,1418615214.00,329.00,People & Blogs,2017
907,YtCrash,11400000.00,3825084.00,1.00,Education,2015
908,infobells - Kannada,11400000.00,5209512047.00,353.00,Education,2014
909,Black Eyed Peas,11400000.00,9492696997.00,39.00,Music,2007
910,Annoying Orange,11400000.00,7893769128.00,1861.00,Shows,2010
911,웃웃TwinsFromRussia,11400000.00,7802486828.00,3589.00,People & Blogs,2011
912,Biper y sus Amigos,11400000.00,4991697738.00,119.00,Music,2012
913,Vy Qwaint,11400000.00,5409544753.00,528.00,Howto & Style,2014
914,Маша та Ведмідь,11400000.00,4942306057.00,994.00,Shows,2014
915,MC Divertida,11400000.00,4440911293.00,347.00,Entertainment,2018
916,BBC Earth,11400000.00,4069124046.00,2248.00,Pets & Animals,2009
917,CrazyRussianHacker,11400000.00,3011607663.00,1970.00,Science & Technology,2012
918,ExpCaseros,11400000.00,2515501575.00,1023.00,Howto & Style,2012
919,الجانب المُشرق | Bright Side Arabic,11400000.00,1605101022.00,5063.00,Howto & Style,2018
920,MyLifeAsEva,11400000.00,1534278655.00,326.00,Comedy,2011
921,GoldminesAction,11400000.00,1069320125.00,529.00,Film & Animation,2015
922,Free Fire India Official,11300000.00,1389660530.00,1117.00,People & Blogs,2018
923,Colors Rishtey,11300000.00,8954781989.00,13423.00,Entertainment,2013
924,Yoeslan,11300000.00,8789109127.00,240.00,Entertainment,2020
925,POCOYÓ en ESPAÑOL - Canal Oficial,11300000.00,8388840225.00,1538.00,Film & Animation,2007
926,Lil Wayne,11300000.00,5335786775.00,254.00,Music,2013
927,elcarteldesantatv,11300000.00,6261374873.00,313.00,Music,2008
928,Star Casablanca | نجوم الدار البيضاء,11300000.00,5129031730.00,998.00,Music,2015
929,UnspeakableGaming,11300000.00,4826278522.00,2444.00,Gaming,2012
930,Maymo,11300000.00,4918241216.00,486.00,Pets & Animals,2006
931,Simone e Simaria,11300000.00,4474548691.00,224.00,Music,2012
932,Single Track Studio,11300000.00,4462580470.00,1719.00,Entertainment,2010
933,CaptainSparklez,11300000.00,3924274232.00,5501.00,Gaming,2010
934,Tiana,11300000.00,3176486598.00,997.00,Entertainment,2015
935,Quantum Tech HD,11300000.00,3594122308.00,392.00,Science & Technology,2015
936,Ya - Alisa,11300000.00,2127059635.00,332.00,People & Blogs,2015
937,Jaiden Animations,11300000.00,2116631957.00,101.00,Film & Animation,2014
938,Ben Azelart,11300000.00,2294003189.00,236.00,Film & Animation,2014
939,Yoga With Adriene,11300000.00,1188547722.00,649.00,Howto & Style,2012
940,The Viral Fever,11200000.00,1656301737.00,433.00,Entertainment,2011
941,Lofi Girl,11200000.00,1311726533.00,328.00,Music,2015
942,Marta and Rustam,11200000.00,12481668186.00,390.00,Comedy,2021
943,ChainsmokersVEVO,11200000.00,11415809929.00,231.00,Music,2012
944,"せんももあいしーCh Sen, Momo, Ai & Shii",11200000.00,7625038147.00,3216.00,People & Blogs,2006
945,AlArabiya العربية,11200000.00,5892643162.00,129135.00,People & Blogs,2006
946,DemiLovatoVEVO,11200000.00,5543363992.00,201.00,Music,2009
947,Cut,11200000.00,4846700433.00,1738.00,Entertainment,2014
948,Toys Make Me Smile,11200000.00,4562854224.00,102.00,Entertainment,2015
949,Franco Escamilla,11200000.00,3344578049.00,2053.00,Comedy,2007
950,Avocado Couple I Crazy Comics,11200000.00,3138496496.00,660.00,Film & Animation,2018
951,Fortnite,11200000.00,2123231155.00,792.00,Gaming,2014
952,luzugames,11200000.00,1978138747.00,2882.00,Gaming,2013
953,Magic Five,11200000.00,1753589438.00,405.00,Entertainment,2016
954,El Rincón De Giorgio,11200000.00,1543663972.00,551.00,Entertainment,2013
955,Pastor Antônio Júnior,11200000.00,1646248092.00,3624.00,People & Blogs,2013
956,CarryisLive,11200000.00,1371995657.00,893.00,Gaming,2017
957,MaJa Tv Moral Stories Fairy Tales,11100000.00,4132213251.00,449.00,Entertainment,2017
958,FunToys Collector Disney Toys Review,11100000.00,15050447314.00,2910.00,Entertainment,2011
959,DisneyJuniorUK,11100000.00,12321708693.00,2799.00,Entertainment,2010
960,Morphle TV,11100000.00,7586526902.00,1126.00,Entertainment,2011
961,Влад и Никита,11100000.00,6761739774.00,396.00,,2018
962,Chotoonz TV - Funny Cartoons for Kids,11100000.00,7015448647.00,1797.00,Film & Animation,2013
963,penguinz0,11100000.00,5768785195.00,3952.00,Gaming,2007
964,ToysPlay,11100000.00,7000333135.00,397.00,Entertainment,2015
965,Pari's Lifestyle,11100000.00,6680703649.00,356.00,People & Blogs,2018
966,Comedy Central,11100000.00,6297139999.00,5841.00,Comedy,2006
967,Diana and Roma IND,11100000.00,4802776148.00,446.00,,2019
968,Sky Does Everything,11100000.00,3823868578.00,2101.00,Music,2011
969,BakLol Video,11100000.00,3250851179.00,257.00,Entertainment,2016
970,Genius,11100000.00,2891052624.00,2797.00,Music,2011
971,Mo Vlogs,11100000.00,2933099311.00,1906.00,People & Blogs,2013
972,The Film Theorists,11100000.00,2242892562.00,355.00,Film & Animation,2014
973,bharatzkitchen HINDI,11100000.00,1903304025.00,626.00,Howto & Style,2016
974,Mrwhosetheboss,11100000.00,1793692542.00,1435.00,Science & Technology,2011
975,Acenix,11100000.00,1606057806.00,259.00,Gaming,2014
976,HellomaphieMX,11100000.00,1584174173.00,382.00,Howto & Style,2013
977,Virgínia Fonseca,11100000.00,1246793263.00,1047.00,People & Blogs,2016
978,TV Shows,11000000.00,0.00,0.00,,2012
979,Barbie,11000000.00,3703938514.00,2411.00,Entertainment,2005
980,Inside Edition,11000000.00,19367966533.00,27156.00,News & Politics,2012
981,Flowers Comedy,11000000.00,9521653019.00,8840.00,Entertainment,2015
982,Flamingo,11000000.00,8874980800.00,2196.00,Gaming,2017
983,Doja Cat,11000000.00,5459891400.00,25.00,Music,2018
984,Tyga,11000000.00,5211071220.00,160.00,Music,2009
985,Wolfoo's stories,11000000.00,4227479765.00,942.00,,2016
986,Emily Tube,11000000.00,4040393626.00,770.00,Entertainment,2014
987,ExplosmEntertainment,11000000.00,3685664468.00,1048.00,Comedy,2009
988,Coisa de Nerd,11000000.00,3419435728.00,1962.00,Gaming,2009
989,Taylor RS,11000000.00,3306502621.00,1845.00,Gaming,2016
990,unknown boy varun,11000000.00,3263285883.00,193.00,Music,2016
991,Viih Tube,11000000.00,886497694.00,505.00,People & Blogs,2013
992,OYUNCAKOYNUYORUM,10900000.00,9948474904.00,791.00,Entertainment,2016
993,Brancoala,10900000.00,7934725886.00,1685.00,Entertainment,2008
994,핑크퐁 (인기 동요・동화),10900000.00,6663450148.00,2726.00,Education,2014
995,OGGY,10900000.00,5589104660.00,920.00,Film & Animation,2014
996,JP Plays,10900000.00,4609300218.00,3528.00,Gaming,2014
997,TrapMusicHDTV,10900000.00,4070521973.00,690.00,Music,2013
998,Games EduUu,10900000.00,3093784767.00,1006.00,Gaming,2011
999,Hueva,10900000.00,3040301750.00,831.00,Gaming,2012
1000,Dobre Brothers,10900000.00,2808411693.00,590.00,People & Blogs,2017
